key,4,6,12,13
#,Singular,Plural,Description,Name
offset,0,4,8,12
int32,str,str,str,str
0,,,,
1,橢圓眼鏡,,基礎色的面部配飾。,橢圓眼鏡
2,銀框橢圓眼鏡,,銀色的面部配飾。,銀框橢圓眼鏡
3,金框橢圓眼鏡,,金色的面部配飾。,金框橢圓眼鏡
4,黑框橢圓眼鏡,,黑色的面部配飾。,黑框橢圓眼鏡
5,白框橢圓眼鏡,,白色的面部配飾。,白框橢圓眼鏡
6,灰框橢圓眼鏡,,灰色的面部配飾。,灰框橢圓眼鏡
7,紅框橢圓眼鏡,,紅色的面部配飾。,紅框橢圓眼鏡
8,藍框橢圓眼鏡,,藍色的面部配飾。,藍框橢圓眼鏡
9,綠框橢圓眼鏡,,綠色的面部配飾。,綠框橢圓眼鏡
10,銅框橢圓眼鏡,,銅色的面部配飾。,銅框橢圓眼鏡
11,紫框橢圓眼鏡,,紫色的面部配飾。,紫框橢圓眼鏡
12,棕框橢圓眼鏡,,棕色的面部配飾。,棕框橢圓眼鏡
13,金邊墨鏡,,基礎色的面部配飾。,金邊墨鏡
14,銀框金邊墨鏡,,銀色的面部配飾。,銀框金邊墨鏡
15,金框金邊墨鏡,,金色的面部配飾。,金框金邊墨鏡
16,黑框金邊墨鏡,,黑色的面部配飾。,黑框金邊墨鏡
17,白框金邊墨鏡,,白色的面部配飾。,白框金邊墨鏡
18,灰框金邊墨鏡,,灰色的面部配飾。,灰框金邊墨鏡
19,紅框金邊墨鏡,,紅色的面部配飾。,紅框金邊墨鏡
20,藍框金邊墨鏡,,藍色的面部配飾。,藍框金邊墨鏡
21,綠框金邊墨鏡,,綠色的面部配飾。,綠框金邊墨鏡
22,銅框金邊墨鏡,,銅色的面部配飾。,銅框金邊墨鏡
23,紫框金邊墨鏡,,紫色的面部配飾。,紫框金邊墨鏡
24,棕框金邊墨鏡,,棕色的面部配飾。,棕框金邊墨鏡
25,經典眼鏡,,基礎色的面部配飾。,經典眼鏡
26,銀框經典眼鏡,,銀色的面部配飾。,銀框經典眼鏡
27,金框經典眼鏡,,金色的面部配飾。,金框經典眼鏡
28,黑框經典眼鏡,,黑色的面部配飾。,黑框經典眼鏡
29,白框經典眼鏡,,白色的面部配飾。,白框經典眼鏡
30,灰框經典眼鏡,,灰色的面部配飾。,灰框經典眼鏡
31,紅框經典眼鏡,,紅色的面部配飾。,紅框經典眼鏡
32,藍框經典眼鏡,,藍色的面部配飾。,藍框經典眼鏡
33,綠框經典眼鏡,,綠色的面部配飾。,綠框經典眼鏡
34,銅框經典眼鏡,,銅色的面部配飾。,銅框經典眼鏡
35,紫框經典眼鏡,,紫色的面部配飾。,紫框經典眼鏡
36,棕框經典眼鏡,,棕色的面部配飾。,棕框經典眼鏡
37,玫瑰色眼鏡,,基礎色的面部配飾。,玫瑰色眼鏡
38,銀框玫瑰色眼鏡,,銀色的面部配飾。,銀框玫瑰色眼鏡
39,金框玫瑰色眼鏡,,金色的面部配飾。,金框玫瑰色眼鏡
40,黑框玫瑰色眼鏡,,黑色的面部配飾。,黑框玫瑰色眼鏡
41,白框玫瑰色眼鏡,,白色的面部配飾。,白框玫瑰色眼鏡
42,灰框玫瑰色眼鏡,,灰色的面部配飾。,灰框玫瑰色眼鏡
43,紅框玫瑰色眼鏡,,紅色的面部配飾。,紅框玫瑰色眼鏡
44,藍框玫瑰色眼鏡,,藍色的面部配飾。,藍框玫瑰色眼鏡
45,綠框玫瑰色眼鏡,,綠色的面部配飾。,綠框玫瑰色眼鏡
46,銅框玫瑰色眼鏡,,銅色的面部配飾。,銅框玫瑰色眼鏡
47,紫框玫瑰色眼鏡,,紫色的面部配飾。,紫框玫瑰色眼鏡
48,棕框玫瑰色眼鏡,,棕色的面部配飾。,棕框玫瑰色眼鏡
49,基礎款眼鏡,,基礎色的面部配飾。,基礎款眼鏡
50,銀框基礎款眼鏡,,銀色的面部配飾。,銀框基礎款眼鏡
51,金框基礎款眼鏡,,金色的面部配飾。,金框基礎款眼鏡
52,黑框基礎款眼鏡,,黑色的面部配飾。,黑框基礎款眼鏡
53,白框基礎款眼鏡,,白色的面部配飾。,白框基礎款眼鏡
54,灰框基礎款眼鏡,,灰色的面部配飾。,灰框基礎款眼鏡
55,紅框基礎款眼鏡,,紅色的面部配飾。,紅框基礎款眼鏡
56,藍框基礎款眼鏡,,藍色的面部配飾。,藍框基礎款眼鏡
57,綠框基礎款眼鏡,,綠色的面部配飾。,綠框基礎款眼鏡
58,銅框基礎款眼鏡,,銅色的面部配飾。,銅框基礎款眼鏡
