key,6
#,
offset,0
int32,str
0,
1,性格沉穩，內心堅強的角尊女性
2,信念堅定、充滿自信的魯加迪恩族女性
3,勇猛、充滿鬥志的休蘭族男性
4,粉色頭髮很可愛的貴族拉拉菲爾族女性
5,擅長魔導技術，受部下愛戴的加雷馬族男性
6,野心勃勃、難以捉摸的加雷馬族男性
7,愛上拂曉財會人員的技術員拉拉菲爾族男性
8,與搭檔一同離開帝國、技術員魯加迪恩族男性
9,紅髮紅瞳的貓魅族男性
10,以盟主身份領導秘密結社的休蘭族女性
11,身為屬州人卻擔任陣營隊長的魯加迪恩族男性
12,以歌姬聞名、極具魅力的貓魅族女性
13,大膽無畏的帥氣紳士休蘭族男性
14,擔任紳士偵探助手的貓魅族女性
15,被稱為艾歐澤亞最強雕金師的休蘭族男性
16,秘密結社的財會人員拉拉菲爾族女性
17,獲得新生的休蘭族男性
18,黑髮藍瞳，眼中充滿堅定意志的精靈族男性
19,正義感強烈的英姿颯爽的半精靈族女性
20,身穿黃色帶耳兜帽的拉拉菲爾族女性
21,擁有超凡槍術的孤高精靈族男性
22,率領空賊、熱愛自由的休蘭族男性
23,負責為自由的搭檔收拾爛攤子的空賊休蘭族女性
24,擔任空賊技術員的拉拉菲爾族女性
25,愛打聽八卦的貴族精靈族男性
26,與蒼穹之禁城很相配的休蘭族男性
27,灑脫又豪爽的東方休蘭族男性
28,擅長忍術、忠心耿耿的敖龍族女性
29,傲慢且武藝高強、獨身一人的敖龍族男性
30,好勝又豪邁、自豪的敖龍族女性
31,楚楚可憐、遵循神諭生活的敖龍族女性
32,身穿深紅色服裝、擅長體術的休蘭族女性
33,統領紅玉海海賊眾的魯加迪恩族男性
34,作為海賊眾副頭領輔助首領的休蘭族男性
35,深受聖獸愛戴、曾是英雄的休蘭族男性
36,擔任全權大使、感情豐富的休蘭族男性
37,爲了討伐黑暗使徒的加雷馬族男性
38,擁有賢人地位、博學多識的敖龍族女性
39,與紅蓮之狂潮很相配、以體術自豪的休蘭族男性
40,與紅蓮之狂潮很相配、佩刀的休蘭族男性
41,自稱魔女、聰慧的貓魅族女性
42,通過觀星來開闢命運、沉默寡言的精靈族男性
43,使用槍刃、威風凜凜的休蘭族男性
44,揹負奇特命運、擁有過分湛藍雙瞳的休蘭族少女
45,作為首領代理統領海賊的休蘭族男性
46,被稱為馴魔師的休蘭族男性
47,擁有名門馴魔師家系、執拗的拉拉菲爾族女性
48,擔任帝國軍團長、執著心強的加雷馬族男性
49,與暗影之逆焰很相配的休蘭族男性
50,哲學家議會的有力議員、精靈族男性
51,擔任福利團體主辦人、心地善良的精靈族女性
52,在瓦礫的祖國致力於重建工作的加雷馬族男性
53,環遊世界收集目標物品的維埃拉族男性
54,以收集東方名品為愛好的休蘭族男性
55,體內寄宿著古代大魔導師靈魂的貓魅族女性
56,與消失在虛空中的姐姐重逢的、七大天龍的戰鬥用分身
57,性格害羞但計算能力強、大膽無畏的紳士的複製體
58,與曉月之終途很相配的休蘭族男性
59,抵達黃金鄉併成為武王的羅斯加爾族女性
60,成為理王並支援妹妹的貓魅族男性
61,與金曦之遺輝很相配的休蘭族男性
62,手持畫筆戰鬥、知曉自己身世的拉拉菲爾族女性
63,胸懷十二神明的想法、繼續旅途的休蘭族男性
64,來自被黑暗籠罩的世界、手持鐮刀的半妖女性
65,居住在熱愛黑夜的森林、敬愛魔女的羅斯加爾族男性
66,被授予影之英雄之名的半加雷馬族少年
67,被授予英雄之妹之名的半加雷馬族少女
68,擔任劇團主辦人、追尋傳說的加雷馬族男性
