key,5,6
#,,
offset,0,4
int32,str,str
0,,
1,柯坦拉姆·布勞菲斯托辛,柯坦拉姆是利姆薩·羅敏薩出身的冒險家，是開拓了西方未知航路的偉大先驅者。第六星曆1497年，年僅十幾歲的柯坦拉姆率領探險隊向西出航，打算前往遠東之國。然而航行的結果與他的計劃不同，最終抵達的是圖拉爾大陸。之後柯坦拉姆在內陸進行探險，到訪瑪穆克，拜謁了當時的聯王。柯坦拉姆與年輕的古魯加加密切交往，與他共同投身多次冒險。
2,蜃景幻城,靜立於新月島東端的小鎮。石造建築雖顯陳舊卻未損毀，似有某種管理之手存在。然而鎮中無人，亦無生活痕跡，令人費解。附近海域多艘試圖離島卻沉沒的船隻，使「見之難返」的傳言更顯真實。
3,檔案官,從蜃景幻城一具奇異石棺中現身的異形存在。外貌近似傳說中的魔物「托比」，卻具理性並態度友好。自稱「博識老爺爺」，但因沉眠太久或遭封印，暫無法清晰傳達其知識。主動協助柯坦拉姆及冒險者，共同展開探索。
4,艾莉絲,妖精型使魔。在檔案官甦醒之時現身，並指出其知識被封印，只能解釋冒險者親眼所見之事。對自身使命亦所知有限。檔案官推測，其所攜以太與覆蓋新月島的魔法結界相同，或為島之主召喚之存在。
5,探查隊前線營地,探查隊設於新月島南部的前線營地。附近遺蹟似為舊關所，留有圓塔與門樓，並有簡易城墻圍護，較少魔物侵擾。區域內還保有作為以太傳送用的魔道通路，便於活動。其建築風格與蜃景幻城相似，具體建造者與年代仍不明。
6,輔助職業,可從新月島遺留的結晶片「靈魂碎晶」中繼承的古代戰技與魔法體系。受全島魔法結界影響，該知識無法攜出島外。而在島內，可暫時承襲古代戰士與魔道士之記憶，施展其技能。根據檔案官建議，成為探查的有力支援。
7,穹頂要塞,由大小石塊堆砌而成的巨大城塞。與島上其他遺蹟同樣空無一人，佈滿歲月痕跡。常用菱形格紋與圓頂設計，其風格與黑衣森林中魔法都市「阿姆達普爾」的遺蹟極為相似。周邊有石像型使魔徘徊，亦與該文明的特徵一致。
8,詛咒商龜「擲幣龜商」,被認為是以大型陸龜為基礎打造的使魔。似乎因魔法賦予理解人語的智慧，常以交易為由接近旅者。然而所售之物大多附帶詛咒，極其麻煩。為何島之主會創造出這種使魔尚不清楚，但其「詛咒」特性令人聯想到曾在基拉巴尼亞盛行的斯卡拉文明。
9,蜃景幻灘,位於新月島南部、面朝內灣的海灘。據說晴朗時可見遠方若蜃影般晃動的雙塔遺蹟。殘留遺蹟中發現的倒圓錐形結構與蜃景幻城相同，建築風格與第五星曆時期海洋都市「尼姆」相符。不過，相比實用為主的蜃景幻城，此處更似以圓形廣場為核心的宗教設施。
10,傳說之鯊「尼姆·翼齒鯊」,據傳尼姆流傳著關於「長有四肢的鯊魚」的神話。有博物學者曾斷言，這應是以現實中「利用鰭爬行的鯊魚」為基礎的誇張想像，並聲稱世上絕無四足鯊——直到「翼齒鯊」出現為止。據說它一旦認定對方為朋友，便絕不食之……然而至今無人成功與之結交。
11,撒嬌罐罐,不加分辨、見人就討要以太藥的魔法罐。據博物學分類，魔法罐歸為「咒具綱」的妖異生物，但其生態仍撲朔迷離。關於其為何討要以太藥的說法眾說紛紜，有的認為其以此為養分，有的則稱它只是單純喜歡設下難題取樂。真相至今無人知曉。
12,南部丘陵,新月島南部延展的丘陵地帶。由於高植被稀少、缺乏掩蔽，唯有大型肉食獸能自在徘徊。中央留有一座涼亭式建築，其地面刻有類似魔法陣的紋樣，或為操控全島魔法結界與幻像偽裝的大型魔法的樞紐所在。
