key,3
#,Description
offset,0
Int32,String
0,想要開放該任務，需要完成主線中最近更新的2個任務。
1,
2,
3,
4,想要開放該任務，需要完成格里達尼亞的深層迷宮相關支線任務，並推進水晶都的特定支線任務。
5,想要開放該任務，需要開放前一個任務，並完成與其相關的特定任務。
6,想要開放該任務，需要推進舊薩雷安的特殊迷宮探索相關支線任務。
7,想要開放該任務，需要完成前一個任務，並和特定的非玩家角色對話。
8,想要開放該任務，需要完成前一個任務，並和特定的非玩家角色對話。
9,想要開放該任務，需要推進「金曦之遺輝」的編年史任務，並開放相關的大型任務。
10,想要開放該任務，需要推進「金曦之遺輝」的編年史任務，並開放相關的大型任務。
11,想要開放該任務，需要推進「金曦之遺輝」的編年史任務，並開放相關的大型任務。
12,想要開放該任務，需要推進「金曦之遺輝」的編年史任務，並開放相關的大型任務。
13,想要開放該任務，需要推進「金曦之遺輝」的編年史任務，並和特定的非玩家角色對話開放高難度的大型任務。
14,想要開放該任務，需要推進「金曦之遺輝」的編年史任務，並和特定的非玩家角色對話開放高難度的大型任務。
15,想要開放該任務，需要推進「金曦之遺輝」的編年史任務，並和特定的非玩家角色對話開放高難度的大型任務。
16,想要開放該任務，需要推進「金曦之遺輝」的編年史任務，並和特定的非玩家角色對話開放高難度的大型任務。
17,想要開放該任務，需要推進「金曦之遺輝」的主線任務，完成相關的討伐殲滅戰後，和異國的詩人對話開放高難度任務。
18,
19,
20,
21,
22,
23,
