key,0
#,
offset,0
Int32,String
0,
1,
2,
3,粗魯的霍比格族
4,休息中的霍比格族
5,大汗淋漓的朵普羅族
6,不安的霍比格族
7,瑪布露
8,友之石塔
9,食之石塔
10,葦之石塔
11,罐之石塔
12,金之石塔
13,墓之石塔
14,封之石塔
15,空白的石塔
16,烏克·拉瑪特
17,粉色的半固體
18,裝有液體的小包
19,細長的固體
20,裝有糊狀物的小包
21,也許是食品罐頭的物體
22,
23,
24,
25,
26,
27,迎曦之民盜賊
28,眾陽之民採集家
29,迎曦之民探險家
30,阿爾夏爾
31,普利修
32,巴庫加加
33,管家之王
34,小黃鶯的忠實擁護者
35,流沙屋的店員
36,皮科特
37,藍紫色巨大仙人掌
38,藍色灌木叢
39,圓形巨大蘑菇
40,焰火狀枝條的植物？
41,長了粉色苔蘚的地面
42,命名威
43,烏克·拉瑪特和市民
44,聯合商城
45,地場節點·九
46,政府區域
47,0
48,1
49,2
50,3
51,4
52,5
53,6
54,7
55,8
56,9
57,確認輸入的內容
58,清除
59,確定
60,退出
61,藍寶石
62,石榴石
63,亞歷山大石
64,手寫體的文字
65,退出
66,長著很多刺的玻璃樹
67,長花的灌木
68,頂著粉色傘蓋的大樹？
69,像玻璃工藝品一樣的花
70,如同彩虹色階梯的山坡
71,命名威
72,
73,
74,
75,
76,絨毯
77,茶飲組合
78,美麗的姑娘
79,墻壁的花紋
80,雅·娜茲卡
81,藍裂幽陸
82,重力球
83,曲折雪松
84,風箏章魚
85,迎輝花
86,俄匊斯碧玉
87,類石體
88,命名威
89,三角格子的建築物
90,粉色葉子的樹木
91,末葉塔和結晶體
92,閃耀著銀色光澤的果實
93,幹線道路
94,像道路標識一樣的造物
95,命名威
96,納古爾維幼芽
