key,1
#,Message
offset,0
Int32,String
0,從憧憬灣向宇宙進發的準備已經完成！<hex:02100103>參與宇宙探索計劃的兔兔族們<hex:02100103>也對計劃的進展充滿了感激之情。<hex:02100103><hex:02100103>自完成的月門基地乘上終將起飛的宇宙飛船，<hex:02100103>繼續踏上星外探索的征程吧！<hex:02100103>十分感謝你對宇宙探索計劃的協助。
1,法恩娜行星的探索已經完成了！<hex:02100103>負責宇宙探索計劃的兔兔族們<hex:02100103>也因為計劃獲得了進一步的進展而感謝你呢。<hex:02100103><hex:02100103>爲了推進法恩娜觀星鏡的觀測結果，<hex:02100103>我們也要繼續踏上星外探索的征程！<hex:02100103>十分感謝你對宇宙探索計劃的協助。
2,俄匊斯行星的探索已經完成了！<hex:02100103>負責宇宙探索計劃的兔兔族們<hex:02100103>也因為計劃獲得了進一步的進展而感謝你呢。<hex:02100103><hex:02100103>今後一邊依靠自形晶獲得準確的情報，<hex:02100103>一邊繼續踏上星外探索的征程吧！<hex:02100103>十分感謝你對宇宙探索計劃的協助。
3,
4,
5,
6,
7,
8,
