key,0
#,Text
offset,0
Int32,String
0,
1,已達成探索任務的目標！
2,已達成探索任務的目標！
3,宇宙探索相關任務專用道具。
4,現在<hex:02280EFF09>ClassJob<hex:E8020103>能進行的研究已經全部完成了！<hex:02100103>請耐心等待接下來的研究方針敲定吧！
5,<hex:02280EFF09>ClassJob<hex:E8020103>的研究數據分析工作有進展了！<hex:02100103>能勞駕來宇宙研究所一趟嗎？
6,<hex:02280EFF09>ClassJob<hex:E8020103>的研究數據分析進度如下！
7,唔……這個東西是這樣……那個的話……
8,宇宙研究使用的研究模組參考了魔法大學的設計。
9,宇宙研究取得進展，我們就能做出更好的工具，<hex:02100103>更好地為計劃做貢獻啦！
10,越高級的研究就需要越詳細的數據，<hex:02100103>這方面只能靠你啦，加油！
11,推進不同領域的研究能提升全體的數據分析效率！
12,唦唦……誒……唦……<hex:02100103>連……了嗎……奇怪……唦……
13,法恩娜行星的資源真讓人感興趣啊！<hex:02100103>研究要有進展咯！
14,法恩娜行星的植物似乎都有著獨特的構造呢，<hex:02100103>在顯微鏡下看都一閃一閃的，好漂亮啊……
15,我們嘗試測量了膠囊峽谷的大坑，<hex:02100103>測量結果非常驚人……小心千萬不要掉下去哦！
16,熔火湧道裡被燒得通紅的玻璃，<hex:02100103>在冷卻凝固後也會變得五顏六色哦！
17,「<hex:02280AFF05>Fate<hex:E8020103>」施工預定地點
18,哇？！研究資料都胡亂飄起來了！<hex:02100103>這就是重力紊亂嗎？！
19,在浮起來的巖石附近，飲料都被打翻咯。<hex:02100103>然後那些飛沫就飄啊飛的……真是驚險的體驗啊！
20,重力控制器也運用了我們的研究呢！<hex:02100103>我都覺得臉上有光了呢。
21,遺留在這個星球上的文明技術還有很多未解之謎，<hex:02100103>要多多調查，為宇宙探索派上用場才行啊！
22,先驅者們似乎是用高級的魔法來驅動這個遺蹟呢！<hex:02100103>和海德林大人還有我們的力量完全不一樣啊！
23,多虧了你的幫助，<hex:02100103>此次計劃中的所有宇宙研究目標都已順利達成！<hex:02100103>真的是太感謝了！
24,<hex:02280EFF09>ClassJob<hex:E8020103>目前可以進行的研究已經完全結束！<hex:02100103>感謝你一直以來的幫助！
25,這顆星球和亞伊太利斯相比，<hex:02100103>與恆星之間的距離還有大氣組成都非常相似。<hex:02100103>所以植物方面會有很多類似的地方也就不足為奇了。
26,這個星球的城市遺跡也過於獨特了！<hex:02100103>即便是幾萬年前建成的，但其中的木材依然沒有枯朽，<hex:02100103>如今依然保持完好……真是了不起的技術！
27,這顆星球引入的宇宙伐木機，<hex:02100103>堪稱目前所開發的機甲技術的結晶！<hex:02100103>阿萊羅特也很為此自豪吧。
28,肩負著城市功能的三個塔好像是用有機體建成的。<hex:02100103>其中似乎會積累大量的情報資料進行處理，<hex:02100103>不過具體原理和構造就不是很清楚了。
29,終於成功修復了太母神桂。<hex:02100103>只要能持續推進內部的解析工作，就能瞭解到很多內容了……<hex:02100103>這可以說是宇宙探索計劃最大的成果！
