key,1,2
#,,
offset,0,4
Int32,String,String
0,伴隨犧牲的勝利I,通關時，有3隻魔獸陷入了無法戰鬥狀態。
1,伴隨犧牲的勝利II,通關時，有2隻魔獸陷入了無法戰鬥狀態。
2,伴隨犧牲的勝利III,通關時，有1隻魔獸陷入了無法戰鬥狀態。
3,一個都不能少,通關時，沒有魔獸陷入無法戰鬥狀態。
4,貴精不貴多I,用6～7隻魔獸組成的編隊通關。
5,貴精不貴多II,用4～5隻魔獸組成的編隊通關。
6,貴精不貴多III,用1～3隻魔獸組成的編隊通關。
7,毫髮無傷,通關時，玩家的體力處於100%
8,兼濟天下,通關時，所有魔獸的體力處於100%
9,心有靈獸I,成功發動5次或更多次永珍流轉
10,心有靈獸II,成功發動10次或更多次永珍流轉
11,心有靈獸III,成功發動15次或更多次永珍流轉
12,盡在掌控,通關時，從未陷入過傷害降低和受傷加重狀態。
13,無用之獸,在不獲得任何鬥獸裝備的情況下通關。
14,自走兵裝庫,在持有10個鬥獸裝備的狀態下通關。
15,節約大師,在完全沒有使用過奇弈道具的狀態下通關。
16,百寶袋,在持有10個奇弈道具的狀態下通關。
17,飢餓遊戲,在不給魔獸餵食任何食物的狀態下通關。
18,餵飯王,在給魔獸餵食20個或更多食物的狀態下通關。
19,財不外露,在完全不花費鬥獸幣的狀態下通關。
20,大富翁,在擁有2000枚或更多鬥獸幣的狀態下通關。
21,特種兵,以完全不在帳篷休息的狀態通關。
22,百獸之王,在僅編入百獸綱魔物的狀態下通關。
23,百蟲之心,在僅編入百蟲綱魔物的狀態下通關。
24,有翼之首,在僅編入有翼綱魔物的狀態下通關。
25,草木之根,在僅編入草木綱魔物的狀態下通關。
26,水棲之源,在僅編入水棲綱魔物的狀態下通關。
27,甲鱗之核,在僅編入甲鱗綱魔物的狀態下通關。
28,咒具之靈,在僅編入咒具綱魔物的狀態下通關。
29,死屍之主,在僅編入死屍綱魔物的狀態下通關。
30,獸道I,通關獸道I。
31,獸道II,通關獸道II。
32,獸道III,通關獸道III。
