key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_CTSMKDENTRANCE_00929_Q1_000_000,要做什麼？
1,TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT,進入「<hex:02281CFF17>ContentFinderCondition<hex:E8022C03>」
2,TEXT_CTSMKDENTRANCE_00929_A1_000_001,詢問有關蜃景幻界新月島南征之章
3,TEXT_CTSMKDENTRANCE_00929_A1_000_002,取消
4,TEXT_CTSMKDENTRANCE_00929_A1_000_003,確認知見等級和貨幣
5,TEXT_CTSMKDENTRANCE_00929_A1_000_004,確認輔助職業
6,TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT_CONFIRMINATION_SOUTH,確定要進入「<hex:02281CFF17>ContentFinderCondition<hex:E8022C03>」嗎？<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>※知見等級超過20級時，<hex:02100103>會自動將知見等級同步到20級。<hex:0249020103><hex:0248020103>
7,TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT_CONFIRMINATION,確定要進入「<hex:02281CFF17>ContentFinderCondition<hex:E8022C03>」嗎？
8,TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT_CONFIRMINATION_HARD,確定要進入「<hex:02281CFF17>ContentFinderCondition<hex:E8022C03>」嗎？
9,TEXT_CTSMKDENTRANCE_00929_A1_000_005,是
10,TEXT_CTSMKDENTRANCE_00929_A1_000_006,否
