key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSMKDWEPTRADE1_00933_GEROLT_000_000,好，素材都齊了啊。<hex:02100103>那就用這把附有半魂以太的鍛冶工具，<hex:02100103>讓你見識一下這座島上獨有的加工技藝吧！
1,TEXT_CTSMKDWEPTRADE1_00933_GEROLT_000_001,怎麼樣，不錯吧？<hex:02100103>由以太構築出的重重虛像，<hex:02100103>最終全部收束于武器本體，凝為真實的形態……
2,TEXT_CTSMKDWEPTRADE1_00933_GEROLT_000_002,我傾盡全力打造的幻境武器，<hex:02100103><hex:02280AFF05>Item<hex:E8020103>完成啦！
3,TEXT_CTSMKDWEPTRADE1_00933_GEROLT_000_003,我傾盡全力打造的幻境武器，<hex:02100103><hex:02280AFF05>Item<hex:E8020103>還有……<hex:02100103><hex:02280AFF05>Item<hex:E8030103>都完成啦！
4,TEXT_CTSMKDWEPTRADE1_00933_GEROLT_000_004,雖然不用我說你也知道，武器的真正價值，只有在戰鬥中才能體現。<hex:02100103>在那之前嘛……它也只是個虛像，猶如蜃景幻界般存在罷了。
5,TEXT_CTSMKDWEPTRADE1_00933_GEROLT_000_005,別把它塞進包里就放著讓它成為幻影！<hex:02100103>要親手緊握它、好好用起來才行！
