key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_000_000,我負責緊急情況時的人員運輸。<hex:02100103>情況發生時，我會按照模擬演練的流程召集參與者，<hex:02100103>你能先去和查明威談談嗎？
1,TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_010_000,我叫蕾芙蕾達，請多指教。<hex:02100103>我平時負責在緊急情況發生時進行人員運輸。
2,TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_010_010,法恩娜行星即使擁有中控水晶的控制，<hex:02100103>環境依然很惡劣，會出現突然的電閃雷鳴和急劇降溫。<hex:02100103>還需要時刻提防著玻璃雨的到來。
3,TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_010_020,緊急情況發生時，<hex:02100103>如果你願意幫忙解決問題的話，可以來和我搭話。<hex:02100103>我會把你送到緊急探索任務的發生地點。
4,TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_020_000,你來得正好，現在發生了緊急情況！<hex:02100103>我正在召集緊急探索任務的參與者，<hex:02100103>你要不要也立刻趕往現場？
5,TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_020_010,結束
6,TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_020_020,要前往哪個緊急探索任務的發生地點？
7,TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_030_000,在你們的幫助下，緊急情況即將解除，<hex:02100103>已經不需要更多人員趕往現場了。
8,TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_030_010,在你們的幫助下，緊急情況順利解除。<hex:02100103>已經不需要更多人員趕往現場了。
9,TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_030_020,感謝你願意提供幫助。<hex:02100103>下次再發生緊急情況時，還請再來幫忙。
10,TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_040_000,哎呀……任務地點發來了通告！<hex:02100103>發生的問題已經有了解決的眉目。<hex:02100103>所以已經不需要你趕往現場了。
11,TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_040_010,感謝你願意提供幫助。<hex:02100103>下次再發生緊急情況時，還請再來幫忙。
