key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_001,呼，雖然基地已經完成了，<hex:02100103>但是大家依然都很忙啊……<hex:02100103>不知道什麼時候才能來取呢？
1,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_005,已經獲得了「完成100次月球探索任務」的探索成果，<hex:02100103>可以從姆姆珂那裡領取新的支線任務了。
2,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_002,<hex:022903EB0203>，你好啊。<hex:02100103>如果你什麼時候方便幫忙了，可以來找我一下嗎？
3,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_003,宇宙探索計劃才剛剛起步。<hex:02100103>希望今後你們也可以提供自己的一份力量，<hex:02100103>共同推進計劃的實施。
4,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_004,<hex:022903EB0203>，感謝你的幫助！<hex:02100103>之後等你方便了，可以再來找我嗎？
5,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_006,方便的話，可以再找其他人談談嗎？<hex:02100103>甚至有些人還有著自己的煩惱，<hex:02100103>你如果願意聆聽一下的話就幫大忙了！
6,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_007,<hex:022903EB0203>，你在雅·阿德布議員的視察工作中幫了很大的忙！<hex:02100103>今後的探索計劃也可以請你繼續提供幫助嗎？
7,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_008,已經獲得了「完成50次法恩娜行星探索任務」的探索成果，<hex:02100103>可以從姆姆珂那裡領取新的支線任務了。
8,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_010,哎，明明月球上還有很多工作等著我去做呢……<hex:02100103>不知道誰有時間能幫個忙呢？
9,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_009,想要從法恩娜行星的姆姆珂那裡領取新的支線任務，<hex:02100103>需要先完成憧憬灣的2個支線任務。
10,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_011,<hex:022903EB0203>，在這邊過得還開心嗎？<hex:02100103>如果你方便幫忙了的話，記得再來找我啊！
11,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_012,感謝你幫忙帶著雅·阿德布議員參觀！<hex:02100103>如果你準備好了的話，可以和我談談嗎？
