key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_CTSWKSTREASURE_00966_TALK_ACTOR_000_001,你好，這裡是遺物探索視窗。<hex:02100103>若有興趣，請先從查明威那裡聽取宇宙探索計劃的相關說明吧。
1,TEXT_CTSWKSTREASURE_00966_TALK_ACTOR_001_001,這裡是遺物探索視窗。<hex:02100103>換取探索無人機用的能源包，<hex:02100103>以及「古代記錄」的回收都在這裡辦理。
2,TEXT_CTSWKSTREASURE_00966_SYSTEM_001_002,和基地的楓對話，<hex:02100103>便可以接取搜尋行星上遺留的文明痕跡的任務，<hex:02100103>以及進行遺物探索相關的交易。
3,TEXT_CTSWKSTREASURE_00966_SYSTEM_001_003,想要開啟「遺物探索」任務，<hex:02100103>需要消耗探索無人機用的能源包。<hex:02100103>在開始任務前，請先從楓那裡換取能源包。
4,TEXT_CTSWKSTREASURE_00966_SYSTEM_001_004,在物品欄中使用換取的能源包後，<hex:02100103>探索無人機會自動開始搜尋星球遺物。<hex:02100103>發現遺物後，地圖上將會顯示遺物所在地。
5,TEXT_CTSWKSTREASURE_00966_SYSTEM_001_005,前往地圖上顯示的遺物所在處，<hex:02100103>調查「星球遺物」，便可以獲得「古代記錄」。
6,TEXT_CTSWKSTREASURE_00966_SYSTEM_001_006,另外，古代記錄存在數個等級。<hex:02100103>將古代記錄提交給楓後，會根據等級獲得相應的報酬，<hex:02100103>請積極探索收集吧。
7,TEXT_CTSWKSTREASURE_00966_SYSTEM_100_001,關於遺物探索的詳細說明，<hex:02100103>可以在觸控板介面中選擇宇宙探索說明，<hex:02100103>在「遺物探索」條目中檢視。
8,TEXT_CTSWKSTREASURE_00966_TALK_ACTOR_002_001,這裡是遺物探索視窗。<hex:02100103>你是想交換探索無人機用的能源包？<hex:02100103>還是想提交古代記錄獲取報酬？
9,TEXT_CTSWKSTREASURE_00966_Q1_000_000,要做什麼？
10,TEXT_CTSWKSTREASURE_00966_A1_000_001,能源包交易
11,TEXT_CTSWKSTREASURE_00966_A1_000_002,獲取古代記錄的報酬
12,TEXT_CTSWKSTREASURE_00966_A1_000_003,聽取關於能源包的說明
13,TEXT_CTSWKSTREASURE_00966_A1_000_004,聽取關於古代記錄的說明
14,TEXT_CTSWKSTREASURE_00966_A1_000_005,取消
15,TEXT_CTSWKSTREASURE_00966_TALK_ACTOR_003_001,能源包是支援探索無人機飛行的必不可少的動力源。<hex:02100103>由於各個星球環境各異，所有能源包都是特製的。
16,TEXT_CTSWKSTREASURE_00966_TALK_ACTOR_003_002,能源包需要用無人機晶片交換。<hex:02100103>只要在這個星球的基礎探索任務中獲得優秀評價，<hex:02100103>我們就會為其發放無人機晶片。
17,TEXT_CTSWKSTREASURE_00966_TALK_ACTOR_004_001,古代記錄是儲存了這個星球古時各種資料的記錄。<hex:02100103>它被封存在「星球遺物」中，對研究員們來說是十分珍貴的寶物。
18,TEXT_CTSWKSTREASURE_00966_TALK_ACTOR_004_002,根據資料量的多少，我們將古代記錄劃分了數個等級。<hex:02100103>等級越高，裡面的資料就越具有研究價值，<hex:02100103>鑑定過後，我們會提供與其價值相符的報酬。
