key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_CTSXBMENTRANCE_00976_Q1_000_000,要做什麼？
1,TEXT_CTSXBMENTRANCE_00976_A1_000_001,挑戰「鬥獸奇弈」
2,TEXT_CTSXBMENTRANCE_00976_A1_000_002,從「中斷存檔」繼續
3,TEXT_CTSXBMENTRANCE_00976_A1_000_003,開啟「魔獸圖鑑」
4,TEXT_CTSXBMENTRANCE_00976_A1_000_004,確認「鬥獸奇弈排名得分」
5,TEXT_CTSXBMENTRANCE_00976_A1_000_005,關於「鬥獸奇弈」
6,TEXT_CTSXBMENTRANCE_00976_A1_000_006,對話
7,TEXT_CTSXBMENTRANCE_00976_A1_000_010,取消
8,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_000,抱歉，鬥獸奇弈僅限「馴獸師」挑戰……<hex:02100103>請換身馴獸師的裝備再來吧。
9,TEXT_CTSXBMENTRANCE_00976_Q2_000_000,挑戰新任務將會刪除中斷存檔，<hex:02100103>確定要繼續嗎？
10,TEXT_CTSXBMENTRANCE_00976_Q4_000_000,刪除參加排行榜的狀態下的中斷存檔，<hex:02100103>排行榜得分記錄上的得分將變為0。<hex:02100103>確定要繼續嗎？
11,TEXT_CTSXBMENTRANCE_00976_Q3_000_000,排名統計期已結束，統計期外的得分不會被記錄。<hex:02100103>確定要繼續嗎？
12,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_010,先挑戰第一盤適應一下吧。<hex:02100103>你在最後要面對「魅惑女妖帕德索」，<hex:02100103>是我的同伴付出生命代價擊敗的妖異……願你旗開得勝。
13,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_015,恭喜你突破鬥獸奇弈第一盤，<hex:02100103>真是精彩的戰鬥，我的主人也很欣賞。
14,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_020,我們露流派真的走錯路了嗎……？
15,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_021,……我想這些也沒什麼意義。<hex:02100103>我的使命就是遵照主人的指示行動。
16,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_025,路斯福洛克斯大人也來參加鬥獸奇弈了呢。<hex:02100103>當然了，只要是馴獸師，我們都歡迎。
17,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_030,在第二盤最後等待你的是路斯福洛克斯大人，<hex:02100103>這次我也沒什麼可以提示的了……<hex:02100103>我的主人很期待兩位的精彩戰鬥，祝你們一切順利。
18,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_035,恭喜你突破第二盤。<hex:02100103>能擊敗自己的前輩，你的確本事過人。
19,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_040,我必須直面加特勒……<hex:02100103>我有責任去了解它的憤怒與悲傷。
20,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_045,我殺害了菲爾金大人，不配獲得原諒。<hex:02100103>但今後我不會再逃避了，即便命運如此，我也不會再輕言放棄……<hex:02100103>我會承擔起罪責，直面今後的人生。
21,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_050,在第三盤中，加特勒會操控我的身體來攻擊你。<hex:02100103>屆時我將無法按照自身的意志行動，但我相信你們所說的……<hex:02100103>相信人與魔獸的感情能激發巨大的力量，最終取得勝利。
22,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_055,恭喜你獲勝，<hex:022903EB0203>大人。<hex:02100103>真是太好了……謝謝你……
23,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_060,我與加特勒已經認可了彼此，約定成為一同揹負罪責的搭檔。<hex:02100103>這份來之不易的信任也會成為我們的力量……<hex:02100103>人與魔獸之間的聯絡真是奇妙又溫暖。
24,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_065,我與加特勒已經認可了彼此，約定成為一同揹負罪責的搭檔。<hex:02100103>這種新的相處模式也會成為我們面對未來的力量……<hex:02100103>人與魔獸之間的聯絡真是奇妙又溫暖。
25,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_066,不說這個了，你應該已經從西爾蒙大人那裡聽了一些說明了吧？<hex:02100103>新的鬥獸奇盤「高段第一盤」已經開放了。
26,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_067,高段第一盤中的魔獸比以往更難對付，<hex:02100103>還請做好準備再來挑戰。
27,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_070,我與加特勒已經認可了彼此，約定成為一同揹負罪責的搭檔。<hex:02100103>這種新的相處模式也會成為我們面對未來的力量……<hex:02100103>人與魔獸之間的聯絡真是奇妙又溫暖。
28,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_071,說起來，你居然突破了我新準備的奇盤！<hex:02100103>啊，我沒別的意思……如果你沒法突破，我們才該頭疼呢。
29,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_072,這次是我與加特勒為了再次挑戰你專門準備的奇盤，<hex:02100103>請務必與我們切磋一下。
30,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_075,我與加特勒已經認可了彼此，約定成為一同揹負罪責的搭檔。<hex:02100103>這種新的相處模式也會成為我們面對未來的力量……<hex:02100103>人與魔獸之間的聯絡真是奇妙又溫暖。
31,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_076,恭喜你突破高段第二盤。<hex:02100103>說實話，我還有點不甘心……
32,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_077,不過我和加特勒會認真吸取這次失敗的教訓的，<hex:02100103>然後不斷積累經驗，變得更加強大……<hex:02100103>到時候我們會再來挑戰你的。
33,TEXT_CTSXBMENTRANCE_00976_LAUDA_000_078,對了，也請你務必嘗試一下挑戰「獸道」。<hex:02100103>我藉助加特勒的力量，強化了盤中的魔獸，<hex:02100103>這是專門為你準備的奇盤。
