key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_000,這裡是蔻斯塔·德爾索，現在正舉辦著「紅蓮祭」喲！<hex:02100103>關於祭典的事情，隨便問我都可以！
1,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_010,現在「紅蓮祭」正在如火如荼地進行中哦！<hex:02100103>關於祭典有什麼想知道的，<hex:02100103>儘管來問我就好！
2,TEXT_FESSUM2025GUIDE_00931_Q1_000_000,想要了解什麼？
3,TEXT_FESSUM2025GUIDE_00931_A1_000_001,「紅蓮祭」是什麼？
4,TEXT_FESSUM2025GUIDE_00931_A1_000_002,「拉敏女王號」是什麼？
5,TEXT_FESSUM2025GUIDE_00931_A1_000_003,取消
6,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_020,我來介紹一下「紅蓮祭」吧。<hex:02100103>原本是爲了討伐突然現身的炎之怪獸，<hex:02100103>由冒險者公會志願者發起的祭典，就是「紅蓮祭」的起源。
7,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_021,此後，即使沒有炎之怪獸出沒，<hex:02100103>也會爲了宣傳冒險者公會的活動而繼續舉辦。<hex:02100103>由我們紅蓮祭執行委員會主席赫爾瑪加帶頭哦！
8,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_022,在赫爾瑪加的帶領下，<hex:02100103>我們執行委員們也傾注真心運營祭典，<hex:02100103>只為守護那些憧憬冒險者的孩子們的夢想與希望。
9,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_030,舉辦地點依然是蔻斯塔·德爾索的地主，<hex:02100103>格格魯先生這次也慷慨地提供了場地。
10,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_031,你也來參加「紅蓮祭」吧，<hex:02100103>一起為冒險者公會加油助陣就太好了！
11,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_032,這次的舉辦地點就是蔻斯塔·德爾索。<hex:02100103>你一定要來參加哦！
12,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_040,「拉敏女王號」是一艘專為戲水而打造的大型娛樂設施！<hex:02100103>船上設有人體大炮、水滑梯，還有泳池，<hex:02100103>還能享用點心，盡情玩樂應有盡有！
13,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_041,不過，那些刺激十足的遊樂設施也有發生意外的風險，<hex:02100103>為確保大家安全，我們還特別組建了海保隊哦。<hex:02100103>所以請放心盡情享受！
14,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_042,順帶一提，船名據說是來源於一位知名舞孃的名字。<hex:02100103>借用她的幸運，希望這裡能成為讓來賓們從心底玩得盡興的樂園呢。
