key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_000,留給人類的「五船空際」……<hex:02100103>這幾個字背後的沉重意味，一定遠超我們的想像。
1,TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_001,別說大陸船了，就連格拉德號以外的船影都沒有。<hex:02100103>說不定在這個世界，<hex:02100103>和其他群體相遇本身就不太常見……
2,TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_002,
3,TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_100,<hex:022903EB0203>，你看！<hex:02100103>遠處有什麼出現了，<hex:02100103>應該是水之大陸船「納格爾法」。
4,TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_101,為了躲避巨人的追擊，這艘船也在不停航行。<hex:02100103>所以我們的旅程才這麼漫長吧。
5,TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_102,船員們既要防備眷屬的襲擊，<hex:02100103>又要預測母船的航線並與之會合……<hex:02100103>返航也挺不容易的。
6,TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_103,
7,TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_200,雖然花了不少時間，納格爾法總算清晰可見了。<hex:02100103>不知在那艘巨船上會有什麼等待著我們……
8,TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_201,好在你已經把這邊的情況告訴了拂曉的各位，<hex:02100103>我們可以集中眼前的事情了。<hex:02100103>這就做好抵達的準備吧！
9,TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_202,
10,TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_203,
