key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_HEAVNZ531_01866_SEQ_00,天極白堊宮的莫古嗚哢有些害怕。
1,TEXT_HEAVNZ531_01866_SEQ_01,將宮殿內部已被敵方控制的事告訴了莫古力護衛團的莫古嗚哢。莫古嗚哢請求冒險者替他進行巡邏。巡視翻雲霧海的天極白堊宮，出現敵人則將其討伐。
2,TEXT_HEAVNZ531_01866_SEQ_02,討伐了出現的敵人。向天極白堊宮的莫古嗚哢報告。
3,TEXT_HEAVNZ531_01866_SEQ_03,莫古嗚哢會繼續在宮殿內巡視。莫古嗚哢很擔心護衛團的同伴莫古歐庫。在天極白堊宮附近發現莫古歐庫的話，轉告他多加小心。
4,TEXT_HEAVNZ531_01866_SEQ_04,空
5,TEXT_HEAVNZ531_01866_SEQ_05,空
6,TEXT_HEAVNZ531_01866_SEQ_06,空
7,TEXT_HEAVNZ531_01866_SEQ_07,空
8,TEXT_HEAVNZ531_01866_SEQ_08,空
9,TEXT_HEAVNZ531_01866_SEQ_09,空
10,TEXT_HEAVNZ531_01866_SEQ_10,空
11,TEXT_HEAVNZ531_01866_SEQ_11,空
12,TEXT_HEAVNZ531_01866_SEQ_12,空
13,TEXT_HEAVNZ531_01866_SEQ_13,空
14,TEXT_HEAVNZ531_01866_SEQ_14,空
15,TEXT_HEAVNZ531_01866_SEQ_15,空
16,TEXT_HEAVNZ531_01866_SEQ_16,空
17,TEXT_HEAVNZ531_01866_SEQ_17,空
18,TEXT_HEAVNZ531_01866_SEQ_18,空
19,TEXT_HEAVNZ531_01866_SEQ_19,空
20,TEXT_HEAVNZ531_01866_SEQ_20,空
21,TEXT_HEAVNZ531_01866_SEQ_21,空
22,TEXT_HEAVNZ531_01866_SEQ_22,空
23,TEXT_HEAVNZ531_01866_SEQ_23,空
24,TEXT_HEAVNZ531_01866_TODO_00,巡視天極白堊宮 討伐出現的敵人
25,TEXT_HEAVNZ531_01866_TODO_01,向莫古嗚哢報告
26,TEXT_HEAVNZ531_01866_TODO_02,空
27,TEXT_HEAVNZ531_01866_TODO_03,空
28,TEXT_HEAVNZ531_01866_TODO_04,空
29,TEXT_HEAVNZ531_01866_TODO_05,空
30,TEXT_HEAVNZ531_01866_TODO_06,空
31,TEXT_HEAVNZ531_01866_TODO_07,空
32,TEXT_HEAVNZ531_01866_TODO_08,空
33,TEXT_HEAVNZ531_01866_TODO_09,空
34,TEXT_HEAVNZ531_01866_TODO_10,空
35,TEXT_HEAVNZ531_01866_TODO_11,空
36,TEXT_HEAVNZ531_01866_TODO_12,空
37,TEXT_HEAVNZ531_01866_TODO_13,空
38,TEXT_HEAVNZ531_01866_TODO_14,空
39,TEXT_HEAVNZ531_01866_TODO_15,空
40,TEXT_HEAVNZ531_01866_TODO_16,空
41,TEXT_HEAVNZ531_01866_TODO_17,空
42,TEXT_HEAVNZ531_01866_TODO_18,空
43,TEXT_HEAVNZ531_01866_TODO_19,空
44,TEXT_HEAVNZ531_01866_TODO_20,空
45,TEXT_HEAVNZ531_01866_TODO_21,空
46,TEXT_HEAVNZ531_01866_TODO_22,空
47,TEXT_HEAVNZ531_01866_TODO_23,空
48,TEXT_HEAVNZ531_01866_MOGGA_000_000,庫啵！<hex:02100103>原來是冒險者呀，真是嚇死莫古了庫啵。
49,TEXT_HEAVNZ531_01866_MOGGA_000_001,庫啵啵？！<hex:02100103>邪龍大人的眷屬已經侵入宮殿內部了？！<hex:02100103>這、這可怎麼辦呀庫啵！
50,TEXT_HEAVNZ531_01866_MOGGA_000_002,那、那這前面莫非……庫啵？<hex:02100103>感覺好恐怖庫啵……
51,TEXT_HEAVNZ531_01866_MOGGA_000_003,莫古有些害怕了庫啵……<hex:02100103>能請你去前方查探一下嗎庫啵？
52,TEXT_HEAVNZ531_01866_MOGGA_000_010,能請你去前方查探一下嗎庫啵？
53,TEXT_HEAVNZ531_01866_MOGGA_000_020,真、真的有邪龍大人的眷屬庫啵？！<hex:02100103>庫啵啵，莫古猜中了庫啵！
54,TEXT_HEAVNZ531_01866_MOGGA_000_021,如果換做是莫古的話這會已經被幹掉了庫啵……<hex:02100103>謝謝你庫啵！<hex:02100103>莫古巡視時會更加小心的庫啵。
55,TEXT_HEAVNZ531_01866_MOGGA_000_022,對了，護衛團的莫古歐庫應該也在附近庫啵。<hex:02100103>如果見到他的話請提醒他一下庫啵！
