key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_BANPEL128_05226_SEQ_00,<hex:024804F201FC03><hex:024904F201FD03>特殊規則： 等級調整（限定職業）<hex:0249020103><hex:0248020103><hex:02100103>※本任務需要與接受任務時的職業相同才可繼續進行任務。<hex:02100103><hex:02100103>水果碼頭的玉畢利想請冒險者幫羊駝玩水。
1,TEXT_BANPEL128_05226_SEQ_01,
2,TEXT_BANPEL128_05226_SEQ_02,
3,TEXT_BANPEL128_05226_SEQ_03,
4,TEXT_BANPEL128_05226_SEQ_04,
5,TEXT_BANPEL128_05226_SEQ_05,
6,TEXT_BANPEL128_05226_SEQ_06,
7,TEXT_BANPEL128_05226_SEQ_07,
8,TEXT_BANPEL128_05226_SEQ_08,
9,TEXT_BANPEL128_05226_SEQ_09,
10,TEXT_BANPEL128_05226_SEQ_10,
11,TEXT_BANPEL128_05226_SEQ_11,
12,TEXT_BANPEL128_05226_SEQ_12,
13,TEXT_BANPEL128_05226_SEQ_13,
14,TEXT_BANPEL128_05226_SEQ_14,
15,TEXT_BANPEL128_05226_SEQ_15,
16,TEXT_BANPEL128_05226_SEQ_16,
17,TEXT_BANPEL128_05226_SEQ_17,
18,TEXT_BANPEL128_05226_SEQ_18,
19,TEXT_BANPEL128_05226_SEQ_19,
20,TEXT_BANPEL128_05226_SEQ_20,
21,TEXT_BANPEL128_05226_SEQ_21,
22,TEXT_BANPEL128_05226_SEQ_22,
23,TEXT_BANPEL128_05226_SEQ_23,
24,TEXT_BANPEL128_05226_TODO_00,和米蘇加對話 騎上海牛
25,TEXT_BANPEL128_05226_TODO_01,騎上海牛 為羊駝展示與水共舞
26,TEXT_BANPEL128_05226_TODO_02,和玉畢利對話
27,TEXT_BANPEL128_05226_TODO_03,
28,TEXT_BANPEL128_05226_TODO_04,
29,TEXT_BANPEL128_05226_TODO_05,
30,TEXT_BANPEL128_05226_TODO_06,
31,TEXT_BANPEL128_05226_TODO_07,
32,TEXT_BANPEL128_05226_TODO_08,
33,TEXT_BANPEL128_05226_TODO_09,
34,TEXT_BANPEL128_05226_TODO_10,
35,TEXT_BANPEL128_05226_TODO_11,
36,TEXT_BANPEL128_05226_TODO_12,
37,TEXT_BANPEL128_05226_TODO_13,
38,TEXT_BANPEL128_05226_TODO_14,
39,TEXT_BANPEL128_05226_TODO_15,
40,TEXT_BANPEL128_05226_TODO_16,
41,TEXT_BANPEL128_05226_TODO_17,
42,TEXT_BANPEL128_05226_TODO_18,
43,TEXT_BANPEL128_05226_TODO_19,
44,TEXT_BANPEL128_05226_TODO_20,
45,TEXT_BANPEL128_05226_TODO_21,
46,TEXT_BANPEL128_05226_TODO_22,
47,TEXT_BANPEL128_05226_TODO_23,
48,TEXT_BANPEL128_05226_YUBLI_000_000,我們的羊駝管理員剛帶著羊駝們去水果碼頭附近的棧橋玩水。<hex:02100103>馴獸人米蘇加趁著這個機會提了個請求。
49,TEXT_BANPEL128_05226_YUBLI_000_001,她說恰好也到了海牛的玩耍時間，機會難得，<hex:02100103>要不讓它們和羊駝交流交流。<hex:02100103>這兩種動物都有很重的好奇心，要是能交上朋友，應該會很有意思。
50,TEXT_BANPEL128_05226_YUBLI_100_001,並且，她希望由你這位受動物喜愛的特別顧問來做個牽線人。<hex:02100103>如果你願意答應的話，<hex:02100103>就請先去海牛停駐場和米蘇加打個招呼。
51,TEXT_BANPEL128_05226_WATERALPACA05226_100_001,嗯！嗯！
52,TEXT_BANPEL128_05226_WATERPELUPELUL05226_110_001,羊駝們已經做好玩水的準備，<hex:02100103>就等著海牛過來了。
53,TEXT_BANPEL128_05226_MIISULJA_000_002,你來啦，特別顧問！<hex:02100103>你應該已經聽玉畢利說了，<hex:02100103>我想讓海牛和羊駝們交流一下。
54,TEXT_BANPEL128_05226_MIISULJA_000_003,而你頗受動物喜愛，所以阿姨我就覺得，<hex:02100103>由你來給它們牽線搭橋再合適不過了。
55,TEXT_BANPEL128_05226_MIISULJA_100_003,說這麼多，其實你只需要騎上海牛，<hex:02100103>給羊駝們展示一下與水共舞就好。<hex:02100103>如果你半道上從海牛身上下來了，記得再回來找我！
56,TEXT_BANPEL128_05226_MIISULJA_110_003,是的是的，海牛已經回來了！<hex:02100103>快再來騎上海牛，<hex:02100103>給羊駝們展示一下與水共舞吧。
57,TEXT_BANPEL128_05226_WATERALPACA05226_000_004,嗯？
58,TEXT_BANPEL128_05226_WATERALPACA05226_000_005,嗯嗯！嗯嗯！
59,TEXT_BANPEL128_05226_WATERPELUPELUL05226_000_006,是米蘇加請你來的嗎？<hex:02100103>就是讓海牛和羊駝交朋友那個……<hex:02100103>這可真是好主意，謝謝你！
60,TEXT_BANPEL128_05226_WATERPELUPELUL05226_000_007,其實我聽說海牛的與水共舞是用水屬性乙太包裹身體，<hex:02100103>有著很強的清涼解暑效果。<hex:02100103>所以為了羊駝們的健康，我想讓它們也體驗一下！
61,TEXT_BANPEL128_05226_WATERPELUPELUL05226_000_008,看樣子羊駝們也很放鬆。<hex:02100103>既然如此，可以讓它們經常這麼玩一玩，<hex:02100103>既能消除壓力，又對它們的身體好。
62,TEXT_BANPEL128_05226_WATERALPACA05226_000_009,嗯嗯！
63,TEXT_BANPEL128_05226_SYSTEM_000_010,羊駝們十分期待玩水。<hex:02100103>和水果碼頭的米蘇加對話，<hex:02100103>騎上海牛對羊駝使用與水共舞。
64,TEXT_BANPEL128_05226_WATERPELUPELUL05226_000_011,羊駝們已經做好玩水的準備，<hex:02100103>就等著海牛過來了。
65,TEXT_BANPEL128_05226_SYSTEM_000_012,為了讓羊駝們玩上水，<hex:02100103>和水果碼頭的米蘇加對話，<hex:02100103>騎上海牛對羊駝使用與水共舞。
66,TEXT_BANPEL128_05226_WATERALPACA05226_000_013,嗯嗯！
67,TEXT_BANPEL128_05226_SYSTEM_000_014,海牛向羊駝展示了與水共舞，<hex:02100103>羊駝玩水玩得十分開心。
68,TEXT_BANPEL128_05226_WATERPELUPELUL05226_000_015,幫大忙了！謝謝你！<hex:02100103>多虧了你的與水共舞，它們看起來比平常更有活力了！
69,TEXT_BANPEL128_05226_MIISULJA_100_015,嘿嘿！海牛看起來很開心呢！<hex:02100103>希望還能有機會再和羊駝們玩。
70,TEXT_BANPEL128_05226_YUBLI_000_016,太好了，謝謝你幫忙。<hex:02100103>據說海牛的與水共舞只會展示給想要親近的對象……<hex:02100103>這種動作對它們來說應該也有特殊的意義。
71,TEXT_BANPEL128_05226_YUBLI_000_017,尤其是這裡，溫度高濕度大，<hex:02100103>用這招可以幫人降溫，讓人覺得舒服……<hex:02100103>這麼想來還挺有趣的。
72,TEXT_BANPEL128_05226_YUBLI_100_017,我們也要好好學習海牛，<hex:02100103>努力讓客人們享受到更加愉快的旅行啊……<hex:02100103>不管怎麼說，還是要感謝你一直以來的幫助。
