key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_FESXMX202_05465_SEQ_00,※本任務是特定期間內的任務。<hex:02100103><hex:02100103>星芒市場的洛朗桑想要儘快開始監督製作。
1,TEXT_FESXMX202_05465_SEQ_01,※本任務只有在季節活動開放期間才能接受和進行。<hex:02100103>　季節活動結束后無法進行，敬請注意。<hex:02100103>　詳情請參見官方網站。<hex:02100103><hex:02100103>洛朗桑拜託冒險者向幫忙製作雪橇的孩子們送上潘趣軟飲。和星芒市場的從容的星芒節執行委員談談。
2,TEXT_FESXMX202_05465_SEQ_02,拿到了潘趣軟飲，趁熱發給在星芒市場幫忙製作雪橇的孩子們吧。
3,TEXT_FESXMX202_05465_SEQ_03,將潘趣軟飲發放給了孩子們。和星芒市場的從容的星芒節執行委員談談。
4,TEXT_FESXMX202_05465_SEQ_04,在孩子們的努力下，雪橇製作完成了。和中央林區彎枝牧場的洛朗桑談談。
5,TEXT_FESXMX202_05465_SEQ_05,乘上了雪橇。<hex:02100103>乘坐著星芒雪橇在彎枝牧場的孩子們的附近使用星芒鈴鐺。<hex:02100103><hex:02100103>※和彎枝牧場的洛朗桑對話即可騎乘星芒雪橇。
6,TEXT_FESXMX202_05465_SEQ_06,乘坐著雪橇，在孩子們的附近搖響了鈴鐺。和彎枝牧場的洛朗桑談談。
7,TEXT_FESXMX202_05465_SEQ_07,乘坐著雪橇搖響了鈴鐺，孩子們都很高興。アイトケン[暫]的努力與心意也傳達給了他的朋友，使她也感到十分欣喜。和格里達尼亞米·凱特露天劇場的阿姆·加蘭基談談。
8,TEXT_FESXMX202_05465_SEQ_08,成功重現了傳說中的場景，也讓孩子們度過了一個熱鬧的星芒節。收下了作為禮物的另一架雪橇，可以繼續乘坐著它對途中遇到的孩子們搖響鈴鐺。
9,TEXT_FESXMX202_05465_SEQ_09,
10,TEXT_FESXMX202_05465_SEQ_10,
11,TEXT_FESXMX202_05465_SEQ_11,
12,TEXT_FESXMX202_05465_SEQ_12,
13,TEXT_FESXMX202_05465_SEQ_13,
14,TEXT_FESXMX202_05465_SEQ_14,
15,TEXT_FESXMX202_05465_SEQ_15,
16,TEXT_FESXMX202_05465_SEQ_16,
17,TEXT_FESXMX202_05465_SEQ_17,
18,TEXT_FESXMX202_05465_SEQ_18,
19,TEXT_FESXMX202_05465_SEQ_19,
20,TEXT_FESXMX202_05465_SEQ_20,
21,TEXT_FESXMX202_05465_SEQ_21,
22,TEXT_FESXMX202_05465_SEQ_22,
23,TEXT_FESXMX202_05465_SEQ_23,
24,TEXT_FESXMX202_05465_TODO_00,和從容的星芒節執行委員對話
25,TEXT_FESXMX202_05465_TODO_01,將<hex:022811FF0A>EventItem<hex:F61E93670103>交給孩子們
26,TEXT_FESXMX202_05465_TODO_02,和從容的星芒節執行委員對話
27,TEXT_FESXMX202_05465_TODO_03,和彎枝牧場的洛朗桑對話
28,TEXT_FESXMX202_05465_TODO_04,乘上星芒雪橇<hex:02100103>在孩子們的附近使用星芒鈴鐺
29,TEXT_FESXMX202_05465_TODO_05,和洛朗桑對話
30,TEXT_FESXMX202_05465_TODO_06,和米·凱特露天劇場的阿姆·加蘭基對話
31,TEXT_FESXMX202_05465_TODO_07,
32,TEXT_FESXMX202_05465_TODO_08,
33,TEXT_FESXMX202_05465_TODO_09,
34,TEXT_FESXMX202_05465_TODO_10,
35,TEXT_FESXMX202_05465_TODO_11,
36,TEXT_FESXMX202_05465_TODO_12,
37,TEXT_FESXMX202_05465_TODO_13,
38,TEXT_FESXMX202_05465_TODO_14,
39,TEXT_FESXMX202_05465_TODO_15,
40,TEXT_FESXMX202_05465_TODO_16,
41,TEXT_FESXMX202_05465_TODO_17,
42,TEXT_FESXMX202_05465_TODO_18,
43,TEXT_FESXMX202_05465_TODO_19,
44,TEXT_FESXMX202_05465_TODO_20,
45,TEXT_FESXMX202_05465_TODO_21,
46,TEXT_FESXMX202_05465_TODO_22,
47,TEXT_FESXMX202_05465_TODO_23,
48,TEXT_FESXMX202_05465_GEVA_000_001,我只是回來看一下行會的情況，<hex:02100103>馬上就會回去繼續製作雪橇的，你放心吧。
49,TEXT_FESXMX202_05465_GEVA_000_002,牽引用的繩索需要有一定的強度，做起來不是那麼簡單的。<hex:02100103>就讓這孩子幫忙做相對簡單的坐墊好了。
50,TEXT_FESXMX202_05465_ASSISTANTGIRL05464_000_003,我剛剛嘗試著摸了摸皮革，<hex:02100103>繩索和坐墊居然都能用它做出來，感覺好神奇啊！
51,TEXT_FESXMX202_05465_BEATINE_000_004,工具的狀態不太好，我不得不回來一趟了。<hex:02100103>之前竟然沒有好好檢查，我怎麼會犯這種錯誤……
52,TEXT_FESXMX202_05465_BEATINE_000_005,一個曲線的弧度也會影響乘坐起來的舒適度。<hex:02100103>爲了做出最棒的雪橇，<hex:02100103>讓這孩子來幫忙檢驗吧。
53,TEXT_FESXMX202_05465_ASSISTANTBOY05464_000_006,我在學習如何對成品進行檢驗。<hex:02100103>雖然做起來有點麻煩，但我不討厭這種細緻的工作。
54,TEXT_FESXMX202_05465_GODBERT_000_007,(-星神聖人-)アイトケン[暫]很擅長製作東西，<hex:02100103>希望他將來也能成為一名工匠，無論哪個行會都行。
55,TEXT_FESXMX202_05465_AITKEN_000_008,我在和星神聖人商量雪橇該用怎樣的裝飾品，<hex:02100103>他說能夠幫我把裝飾做得比我想像得還要帥，<hex:02100103>真不愧是星神聖人對吧？
56,TEXT_FESXMX202_05465_LAURENSSEN_000_010,
57,TEXT_FESXMX202_05465_LAURENSSEN_000_011,作為一名在大學研究考古學的學者，<hex:02100103>能夠參與重現古代傳說真是難得的機會。<hex:02100103>讓我們大家齊心協力，完美還原出傳說中的雪橇吧。
58,TEXT_FESXMX202_05465_LAURENSSEN_000_012,爲了確保成品符合預期，製作者和監督者自不必說，<hex:02100103>還需要有人巡視各個小組，維持大家的積極性。<hex:02100103>像之前說的那樣，這件事就交給你吧。
59,TEXT_FESXMX202_05465_LAURENSSEN_000_013,……對了，市場里現在正在發放<hex:022811FF0A>EventItem<hex:F61E93670103>。<hex:02100103>你拿一些過去分給孩子們喝吧，他們一定會很開心的。
60,TEXT_FESXMX202_05465_LAURENSSEN_000_014,負責發放的是那邊那位從容的星芒節執行委員，<hex:02100103>你直接去找她拿就行。那麼一會兒見。
61,TEXT_FESXMX202_05465_LAURENSSEN_000_020,這位星神聖人是個手藝相當高超的工匠，<hex:02100103>他究竟是誰？
62,TEXT_FESXMX202_05465_COMMITTEE05231_000_030,是要把潘趣軟飲當做慰問品發給大家嗎？<hex:02100103>阿姆·加蘭基已經和我說過製作雪橇的事了，<hex:02100103>請把這些拿去分發給孩子們吧。
63,TEXT_FESXMX202_05465_COMMITTEE05231_000_031,辛苦你在這麼冷的天來回奔波了，<hex:02100103>我們也會準備好你的份，<hex:02100103>發完以後請再回來暖暖身子吧！
