key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_KINGSF202_05461_SEQ_00,圖萊尤拉的緹索加迫不及待想要開分店。
1,TEXT_KINGSF202_05461_SEQ_01,
2,TEXT_KINGSF202_05461_SEQ_02,
3,TEXT_KINGSF202_05461_SEQ_03,
4,TEXT_KINGSF202_05461_SEQ_04,
5,TEXT_KINGSF202_05461_SEQ_05,
6,TEXT_KINGSF202_05461_SEQ_06,
7,TEXT_KINGSF202_05461_SEQ_07,
8,TEXT_KINGSF202_05461_SEQ_08,
9,TEXT_KINGSF202_05461_SEQ_09,
10,TEXT_KINGSF202_05461_SEQ_10,
11,TEXT_KINGSF202_05461_SEQ_11,
12,TEXT_KINGSF202_05461_SEQ_12,
13,TEXT_KINGSF202_05461_SEQ_13,
14,TEXT_KINGSF202_05461_SEQ_14,
15,TEXT_KINGSF202_05461_SEQ_15,
16,TEXT_KINGSF202_05461_SEQ_16,
17,TEXT_KINGSF202_05461_SEQ_17,
18,TEXT_KINGSF202_05461_SEQ_18,
19,TEXT_KINGSF202_05461_SEQ_19,
20,TEXT_KINGSF202_05461_SEQ_20,
21,TEXT_KINGSF202_05461_SEQ_21,
22,TEXT_KINGSF202_05461_SEQ_22,
23,TEXT_KINGSF202_05461_SEQ_23,
24,TEXT_KINGSF202_05461_TODO_00,和九號解決方案的斯特拉塔對話
25,TEXT_KINGSF202_05461_TODO_01,在<hex:02280CFF05>EObj<hex:F61EC0170103>等待
26,TEXT_KINGSF202_05461_TODO_02,將<hex:022811FF0A>EventItem<hex:F61E936D0103>交給下單的客人
27,TEXT_KINGSF202_05461_TODO_03,和胡奇對話
28,TEXT_KINGSF202_05461_TODO_04,再次和胡奇對話
29,TEXT_KINGSF202_05461_TODO_05,和圖萊尤拉的緹索加對話
30,TEXT_KINGSF202_05461_TODO_06,
31,TEXT_KINGSF202_05461_TODO_07,
32,TEXT_KINGSF202_05461_TODO_08,
33,TEXT_KINGSF202_05461_TODO_09,
34,TEXT_KINGSF202_05461_TODO_10,
35,TEXT_KINGSF202_05461_TODO_11,
36,TEXT_KINGSF202_05461_TODO_12,
37,TEXT_KINGSF202_05461_TODO_13,
38,TEXT_KINGSF202_05461_TODO_14,
39,TEXT_KINGSF202_05461_TODO_15,
40,TEXT_KINGSF202_05461_TODO_16,
41,TEXT_KINGSF202_05461_TODO_17,
42,TEXT_KINGSF202_05461_TODO_18,
43,TEXT_KINGSF202_05461_TODO_19,
44,TEXT_KINGSF202_05461_TODO_20,
45,TEXT_KINGSF202_05461_TODO_21,
46,TEXT_KINGSF202_05461_TODO_22,
47,TEXT_KINGSF202_05461_TODO_23,
48,TEXT_KINGSF202_05461_TIISOLJA_000_001,我已經用通訊珠聯絡過斯特拉塔小姐了，<hex:02100103>她應該馬上就過來！
49,TEXT_KINGSF202_05461_STRATA_000_002,我聯絡過羅蒂娜了。<hex:02100103>她已經準備好了分店的店鋪，就等我們過去做夾餅啦。
50,TEXT_KINGSF202_05461_MOBCHEF05461_000_003,緹姨，有突發情況！
51,TEXT_KINGSF202_05461_MOBCHEF05461_000_004,聯王宮剛剛下了急單！<hex:02100103>據說是從利姆薩·羅敏薩來了一大批貿易船，<hex:02100103>船員都想嚐嚐有名的夾餅！
52,TEXT_KINGSF202_05461_MOBCHEF05461_000_005,聯王宮那邊希望貝殼亭和我們代表圖萊尤拉，<hex:02100103>協力處理這批訂單！
53,TEXT_KINGSF202_05461_STRATA_000_006,嗯……但是分店那邊第一天開業，估計會十分繁忙，<hex:02100103>如果你們騰不出人手，不如推遲開店時間？
54,TEXT_KINGSF202_05461_MOBCHEF05461_000_007,聯王大人好像也知道我們要開分店的事。<hex:02100103>說要是我們實在忙不過來，可以全都交給貝殼亭製作。
55,TEXT_KINGSF202_05461_TIISOLJA_000_008,不，兩邊都不能讓步！<hex:02100103>大家都等著吃我們的夾餅呢，<hex:02100103>作為店家，我們不能讓食客們失望！
56,TEXT_KINGSF202_05461_TIISOLJA_000_009,小胡，分店那邊就先交給你張羅，<hex:02100103>等這邊忙完了我馬上就過去！
57,TEXT_KINGSF202_05461_TIISOLJA_000_010,你是緹姨家的塔可餅的老員工了，熟知我們店的味道，<hex:02100103>這次也為了開分店一起忙活，不論是對夾餅還是對分店都很熟悉，<hex:02100103>你絕對能應付得過來！
58,TEXT_KINGSF202_05461_HHUKI_000_011,……好、好的。<hex:02100103>我一定想辦法撐到緹姨過來。
59,TEXT_KINGSF202_05461_TIISOLJA_000_012,你不要這麼大壓力，<hex:02100103>我們是要用夾餅給客人帶去笑容的啊！
60,TEXT_KINGSF202_05461_TIISOLJA_000_013,不好意思，<hex:022903EB0203>，<hex:02100103>能請你也幫下分店的忙嗎？<hex:02100103>你對亞歷山德里亞比較熟悉，一定能為我們出謀劃策！
61,TEXT_KINGSF202_05461_TIISOLJA_000_014,太感謝了！<hex:02100103>那麼我就先忙總店和貿易船的訂單了，<hex:02100103>分店就交給你們啦！
62,TEXT_KINGSF202_05461_TIISOLJA_000_020,分店就交給你們啦！<hex:02100103>總店這邊就由我來對應！<hex:02100103>作為圖萊尤拉數一數二的名店，我們可不能輸給貝殼亭。
63,TEXT_KINGSF202_05461_HHUKI_000_021,唔……雖然我作為廚師有不少的經驗，<hex:02100103>但要在陌生的地方指揮大局，還是很緊張的……
64,TEXT_KINGSF202_05461_TACOCAT_000_022,喵嗚！
65,TEXT_KINGSF202_05461_STRATA_000_030,這裡就是緹姨家的塔可餅的分店，<hex:02100103>廚具和從總店運來的物品都擺放好了……
66,TEXT_KINGSF202_05461_STRATA_000_031,現在已經有客人在等待開門了，<hex:02100103>我們的宣傳做得很到位，想必開門後客流量會不小。
67,TEXT_KINGSF202_05461_STRATA_000_032,要是聚集了太多人會給附近的店鋪住家添麻煩，<hex:02100103>等待時間過長客人們也會有意見……<hex:02100103>希望別出什麼亂子就好。
68,TEXT_KINGSF202_05461_HHUKI_000_033,我、我能應付得了這些狀況嗎……<hex:02100103>不，捨我其誰，我一定要挺住……
69,TEXT_KINGSF202_05461_Q1_000_000,要說什麼？
70,TEXT_KINGSF202_05461_A1_000_001,有我們在呢
71,TEXT_KINGSF202_05461_A1_000_002,用夾餅給客人帶去笑容！
72,TEXT_KINGSF202_05461_HHUKI_000_035,好、好的！<hex:02100103>你說得沒錯……
73,TEXT_KINGSF202_05461_HHUKI_000_036,好！<hex:02100103>既然已經有人等著了，那我們馬上開店吧！
74,TEXT_KINGSF202_05461_HHUKI_000_037,夾餅倒是可以抓緊製作，至於排隊的問題……<hex:02100103>對了，羅蒂娜女士和緹索加曾說過可以遠端點單，<hex:02100103>然後配送給客人，不知可不可行？
75,TEXT_KINGSF202_05461_STRATA_000_038,這個辦法好！<hex:02100103>這樣既能減少排隊等待，又能有效活用員工。<hex:02100103>我馬上準備點單程式，並且安排下派送員。
