key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_SUBCTS830_05469_SEQ_00,鳥趾大路的迎曦之民少年似乎有話想和冒險者說。
1,TEXT_SUBCTS830_05469_SEQ_01,異國的詩人希望冒險者在最能感受到圖拉爾之風的場所吹響魔笛。在克扎瑪烏卡濕地活船水路上游附近的<hex:02280CFF05>EObj<hex:F61EC0650103>吹響<hex:022811FF0A>EventItem<hex:F61E93710103>。
2,TEXT_SUBCTS830_05469_SEQ_02,吹響了<hex:022811FF0A>EventItem<hex:F61E93710103>后，翅膀大靈遺輝之翼出現了。翅膀大靈認可冒險者作為自己的主人，將其背後的炫目翅膀借給了冒險者。再次吹響魔笛，展翅飛向無垠的天空吧！
3,TEXT_SUBCTS830_05469_SEQ_03,
4,TEXT_SUBCTS830_05469_SEQ_04,
5,TEXT_SUBCTS830_05469_SEQ_05,
6,TEXT_SUBCTS830_05469_SEQ_06,
7,TEXT_SUBCTS830_05469_SEQ_07,
8,TEXT_SUBCTS830_05469_SEQ_08,
9,TEXT_SUBCTS830_05469_SEQ_09,
10,TEXT_SUBCTS830_05469_SEQ_10,
11,TEXT_SUBCTS830_05469_SEQ_11,
12,TEXT_SUBCTS830_05469_SEQ_12,
13,TEXT_SUBCTS830_05469_SEQ_13,
14,TEXT_SUBCTS830_05469_SEQ_14,
15,TEXT_SUBCTS830_05469_SEQ_15,
16,TEXT_SUBCTS830_05469_SEQ_16,
17,TEXT_SUBCTS830_05469_SEQ_17,
18,TEXT_SUBCTS830_05469_SEQ_18,
19,TEXT_SUBCTS830_05469_SEQ_19,
20,TEXT_SUBCTS830_05469_SEQ_20,
21,TEXT_SUBCTS830_05469_SEQ_21,
22,TEXT_SUBCTS830_05469_SEQ_22,
23,TEXT_SUBCTS830_05469_SEQ_23,
24,TEXT_SUBCTS830_05469_TODO_00,在克扎瑪烏卡濕地的<hex:02280CFF05>EObj<hex:F61EC0650103>吹響<hex:022811FF0A>EventItem<hex:F61E93710103>
25,TEXT_SUBCTS830_05469_TODO_01,
26,TEXT_SUBCTS830_05469_TODO_02,
27,TEXT_SUBCTS830_05469_TODO_03,
28,TEXT_SUBCTS830_05469_TODO_04,
29,TEXT_SUBCTS830_05469_TODO_05,
30,TEXT_SUBCTS830_05469_TODO_06,
31,TEXT_SUBCTS830_05469_TODO_07,
32,TEXT_SUBCTS830_05469_TODO_08,
33,TEXT_SUBCTS830_05469_TODO_09,
34,TEXT_SUBCTS830_05469_TODO_10,
35,TEXT_SUBCTS830_05469_TODO_11,
36,TEXT_SUBCTS830_05469_TODO_12,
37,TEXT_SUBCTS830_05469_TODO_13,
38,TEXT_SUBCTS830_05469_TODO_14,
39,TEXT_SUBCTS830_05469_TODO_15,
40,TEXT_SUBCTS830_05469_TODO_16,
41,TEXT_SUBCTS830_05469_TODO_17,
42,TEXT_SUBCTS830_05469_TODO_18,
43,TEXT_SUBCTS830_05469_TODO_19,
44,TEXT_SUBCTS830_05469_TODO_20,
45,TEXT_SUBCTS830_05469_TODO_21,
46,TEXT_SUBCTS830_05469_TODO_22,
47,TEXT_SUBCTS830_05469_TODO_23,
48,TEXT_SUBCTS830_05469_MOB05469_000_001,啊！<hex:02100103>你是幫助了烏克·拉瑪特大人的冒險者<hex:020813E905FF07>姐姐<hex:FF07>哥哥<hex:03>！
49,TEXT_SUBCTS830_05469_MOB05469_000_002,哎哎，<hex:020813E905FF07>姐姐<hex:FF07>哥哥<hex:03>，<hex:02100103>你有沒有在戰鬥過後見過翅膀啊？
50,TEXT_SUBCTS830_05469_MOB05469_000_003,迎曦之民的傳說之中，有一位「翅膀大靈」！<hex:02100103>在勇者歷經試煉之後，<hex:02100103>那位大靈就會獎賞那個人一對翅膀！
51,TEXT_SUBCTS830_05469_MOB05469_000_004,然後，烏克·拉瑪特大人就說，<hex:02100103>說不定，最像是勇者的<hex:020813E905FF07>姐姐<hex:FF07>哥哥<hex:03>就見過呢！<hex:02100103>怎麼樣，是真的嗎？！
52,TEXT_SUBCTS830_05469_MOB05469_000_005,不光見過，還擁有這些翅膀？！<hex:02100103>太強了……原來傳說是真的啊！
53,TEXT_SUBCTS830_05469_MOB05469_000_006,那、那我也要成為超厲害的勇者，<hex:02100103>一定要拿到大靈的翅膀，就這麼說定了！
54,TEXT_SUBCTS830_05469_MOB05469_000_007,啊，說起來，也快到了勇連隊的訓練時間了，<hex:02100103>爲了成為勇者，我必須得去觀摩學習一下了！
55,TEXT_SUBCTS830_05469_MOB05469_000_008,再見了！勇者<hex:020813E905FF07>姐姐<hex:FF07>哥哥<hex:03>！<hex:02100103>謝謝你告訴我！
56,TEXT_SUBCTS830_05469_WANDERINGMINSTREL_100_009,(-？？？？-)唔……翅膀大靈啊……真讓人好奇。
57,TEXT_SUBCTS830_05469_WANDERINGMINSTREL_100_010,冒昧前來真是不好意思，我也是偶然路過聽到了你們的對話。<hex:02100103>……不過，剛剛的話題真的挺有意思的。
58,TEXT_SUBCTS830_05469_WANDERINGMINSTREL_100_011,我做這行經常要蒐集各地的傳統文化，<hex:02100103>同樣有關翅膀的傳說，在圖拉爾之外的各地……<hex:02100103>甚至連原本身處映象世界的亞歷山德里亞都有類似傳聞。
59,TEXT_SUBCTS830_05469_WANDERINGMINSTREL_100_012,相隔萬里的土地，各自迥異的文化，卻廣為流傳著相似的傳說……<hex:02100103>你不覺得這很不可思議嗎？
60,TEXT_SUBCTS830_05469_WANDERINGMINSTREL_100_013,在雕刻與繪畫這樣的美術之中，<hex:02100103>也常有英雄伴著羽翼的姿態。<hex:02100103>也許是大家印象里的英雄即為從天而降的救贖，而其本質則是……
61,TEXT_SUBCTS830_05469_WANDERINGMINSTREL_100_014,哎呀，不好意思，想像力一下就飛馳天際了……<hex:02100103>我和你搭話是有原因的。
62,TEXT_SUBCTS830_05469_WANDERINGMINSTREL_100_015,其實，前幾天我從一位旅行的咒法師手中，<hex:02100103>得到了一支有關「翅膀大靈」的魔笛。<hex:02100103>說是隻要被真正的英雄吹響，就會賜予那位英雄一對神聖的翅膀。
63,TEXT_SUBCTS830_05469_WANDERINGMINSTREL_100_016,很遺憾，我是沒有這個資格的，但你一定能行……<hex:02100103>你要是願意的話，能不能試一試呢？
64,TEXT_SUBCTS830_05469_WANDERINGMINSTREL_100_017,翅膀大靈一定也喜歡天空和清風吧，<hex:02100103>要說符合這一條件的地方……對了，就去和風之傳說淵源頗深的<hex:02100103>克扎瑪烏卡濕地的高臺吹響這支魔笛吧！
65,TEXT_SUBCTS830_05469_WANDERINGMINSTREL_100_020,啊啊……多麼美好的光景啊……<hex:02100103>蘊含著大靈之力的白金六翼……<hex:02100103>揹負起這對翅膀的你正該被稱為英雄！
