key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_JOBXBM192_05501_SEQ_00,
1,TEXT_JOBXBM192_05501_SEQ_01,
2,TEXT_JOBXBM192_05501_SEQ_02,
3,TEXT_JOBXBM192_05501_SEQ_03,
4,TEXT_JOBXBM192_05501_SEQ_04,
5,TEXT_JOBXBM192_05501_SEQ_05,
6,TEXT_JOBXBM192_05501_SEQ_06,
7,TEXT_JOBXBM192_05501_SEQ_07,
8,TEXT_JOBXBM192_05501_SEQ_08,
9,TEXT_JOBXBM192_05501_SEQ_09,
10,TEXT_JOBXBM192_05501_SEQ_10,
11,TEXT_JOBXBM192_05501_SEQ_11,
12,TEXT_JOBXBM192_05501_SEQ_12,
13,TEXT_JOBXBM192_05501_SEQ_13,
14,TEXT_JOBXBM192_05501_SEQ_14,
15,TEXT_JOBXBM192_05501_SEQ_15,
16,TEXT_JOBXBM192_05501_SEQ_16,
17,TEXT_JOBXBM192_05501_SEQ_17,
18,TEXT_JOBXBM192_05501_SEQ_18,
19,TEXT_JOBXBM192_05501_SEQ_19,
20,TEXT_JOBXBM192_05501_SEQ_20,
21,TEXT_JOBXBM192_05501_SEQ_21,
22,TEXT_JOBXBM192_05501_SEQ_22,
23,TEXT_JOBXBM192_05501_SEQ_23,
24,TEXT_JOBXBM192_05501_TODO_00,
25,TEXT_JOBXBM192_05501_TODO_01,
26,TEXT_JOBXBM192_05501_TODO_02,
27,TEXT_JOBXBM192_05501_TODO_03,
28,TEXT_JOBXBM192_05501_TODO_04,
29,TEXT_JOBXBM192_05501_TODO_05,
30,TEXT_JOBXBM192_05501_TODO_06,
31,TEXT_JOBXBM192_05501_TODO_07,
32,TEXT_JOBXBM192_05501_TODO_08,
33,TEXT_JOBXBM192_05501_TODO_09,
34,TEXT_JOBXBM192_05501_TODO_10,
35,TEXT_JOBXBM192_05501_TODO_11,
36,TEXT_JOBXBM192_05501_TODO_12,
37,TEXT_JOBXBM192_05501_TODO_13,
38,TEXT_JOBXBM192_05501_TODO_14,
39,TEXT_JOBXBM192_05501_TODO_15,
40,TEXT_JOBXBM192_05501_TODO_16,
41,TEXT_JOBXBM192_05501_TODO_17,
42,TEXT_JOBXBM192_05501_TODO_18,
43,TEXT_JOBXBM192_05501_TODO_19,
44,TEXT_JOBXBM192_05501_TODO_20,
45,TEXT_JOBXBM192_05501_TODO_21,
46,TEXT_JOBXBM192_05501_TODO_22,
47,TEXT_JOBXBM192_05501_TODO_23,
48,TEXT_JOBXBM192_05501_SYSTEM_100_000,若要領取或繼續推進本任務，<hex:02100103>需要滿足以下條件。
49,TEXT_JOBXBM192_05501_SYSTEM_110_000,1.當前職業為馴獸師
50,TEXT_JOBXBM192_05501_SYSTEM_120_000,2.已突破「鬥獸奇弈高段 第一盤」3.自身收集的魔獸不少於30種
51,TEXT_JOBXBM192_05501_SYLMOND_000_000,<hex:022903EB0203>，你終於來了！<hex:02100103>恭喜你突破鬥獸奇弈高段第一盤！不愧是你啊！
52,TEXT_JOBXBM192_05501_SYLMOND_000_001,不過勞妲好像相當不甘心，<hex:02100103>正在暗中籌備鬥獸奇弈高段第二盤！
53,TEXT_JOBXBM192_05501_SYLMOND_000_002,最意外的是，<hex:02100103>勞妲和加特勒這次似乎打算親自上陣挑戰你！
54,TEXT_JOBXBM192_05501_SYLMOND_000_003,可以說這個高段第二盤完全是為<hex:022903EB0203>準備的……<hex:02100103>說是為上次第三盤而進行的復仇戰也不過分。
55,TEXT_JOBXBM192_05501_SYLMOND_000_004,不過就算面對曾經的手下敗將也不能掉以輕心哦？<hex:02100103>畢竟這次勞妲和加特勒已經彼此心意相通，<hex:02100103>說不定會發揮出遠超上次的實力呢！
56,TEXT_JOBXBM192_05501_SYLMOND_000_005,但我相信最後的勝利一定是屬於你和你的搭檔的！<hex:02100103>快去參加吧！
57,TEXT_JOBXBM192_05501_SYSTEM_000_020,「鬥獸奇弈 高段第二盤」開放了。<hex:02100103>和彎枝牧場的勞妲對話便可以進行挑戰。
